sep=;
Type;FSWP-26;
Version;1.90SP1;
Date;18.Apr 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;20000000000.000000;Hz
Span;20000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;300000.000000;Hz
VBW;300000.000000;Hz
SWT;0.060000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
1228771228.771228075;-78.09464263916015625;
1248751248.7512481213;-79.5857086181640625;
1268731268.7312681675;-80.68549346923828125;
1288711288.7112882137;-81.0863189697265625;
1308691308.69130826;-81.56649017333984375;
1328671328.6713283062;-76.24303436279296875;
1348651348.6513483524;-79.50249481201171875;
1368631368.6313683987;-80.561370849609375;
1388611388.6113884449;-78.7733306884765625;
1408591408.5914084911;-80.1748046875;
1428571428.5714285374;-81.8145751953125;
1448551448.5514485836;-80.7671051025390625;
1468531468.5314686298;-78.758392333984375;
1488511488.5114886761;-79.55823516845703125;
1508491508.4915087223;-81.69580078125;
1528471528.4715287685;-79.1861114501953125;
1548451548.4515488148;-78.9447021484375;
1568431568.431568861;-79.98265838623046875;
1588411588.4115889072;-81.5649261474609375;
1608391608.3916089535;-80.91541290283203125;
1628371628.3716289997;-80.6614837646484375;
1648351648.3516490459;-79.627593994140625;
1668331668.3316690922;-80.7909393310546875;
1688311688.3116891384;-80.7600555419921875;
1708291708.2917091846;-80.6816253662109375;
1728271728.2717292309;-78.96271514892578125;
1748251748.2517492771;-80.145721435546875;
1768231768.2317693233;-81.9043121337890625;
1788211788.2117893696;-80.76117706298828125;
1808191808.1918094158;-80.80731201171875;
1828171828.1718294621;-78.88846588134765625;
1848151848.1518495083;-80.96970367431640625;
1868131868.1318695545;-77.97417449951171875;
1888111888.1118896008;-79.50220489501953125;
1908091908.091909647;-80.208984375;
1928071928.0719296932;-63.879444122314453125;
1948051948.0519497395;-79.1478424072265625;
1968031968.0319697857;-80.03387451171875;
1988011988.0119898319;-81.6736907958984375;
2007992007.9920098782;-78.51712799072265625;
2027972027.9720299244;-80.79228973388671875;
2047952047.9520499706;-80.6853179931640625;
2067932067.9320700169;-80.53639984130859375;
2087912087.9120900631;-79.2439117431640625;
2107892107.8921101093;-79.9893646240234375;
2127872127.8721301556;-81.65069580078125;
2147852147.8521499634;-78.9790802001953125;
2167832167.8321700096;-80.05242156982421875;
2187812187.8121900558;-78.947418212890625;
2207792207.7922101021;-80.10391998291015625;
2227772227.7722301483;-79.7576904296875;
2247752247.7522501945;-81.30365753173828125;
2267732267.7322702408;-79.853729248046875;
2287712287.712290287;-79.68871307373046875;
2307692307.6923103333;-64.25579833984375;
2327672327.6723303795;-77.2998046875;
2347652347.6523504257;-80.11913299560546875;
2367632367.632370472;-80.38542938232421875;
2387612387.6123905182;-79.12738037109375;
2407592407.5924105644;-80.13027191162109375;
2427572427.5724306107;-78.02725982666015625;
2447552447.5524506569;-80.1783294677734375;
2467532467.5324707031;-81.192535400390625;
2487512487.5124907494;-78.950408935546875;
2507492507.4925107956;-80.8473968505859375;
2527472527.4725308418;-79.0189208984375;
2547452547.4525508881;-80.74785614013671875;
2567432567.4325709343;-78.34439849853515625;
2587412587.4125909805;-79.23888397216796875;
2607392607.3926110268;-80.75384521484375;
2627372627.372631073;-80.67607879638671875;
